STF,FqFm
1,0.858635385
2,0.833784192
3,0.831251099
4,0.84154837
5,0.846341279
6,0.838796599
7,0.836115151
8,0.839722455
9,0.842681639
10,0.840465759
11,0.838608592
12,0.839680248
13,0.841265904
14,0.840735979
15,0.839752305
16,0.840000037
17,0.840797571
18,0.840760962
19,0.840289422
20,0.840305532
21,0.840699215
22,0.840777458
23,0.840568347
24,0.840537382
25,0.840733681
26,0.840819594
27,0.840734595
28,0.84070931
29,0.840810254
30,0.840880667
31,0.840854893
32,0.840842466
33,0.84090091
34,0.840953636
35,0.840954865
36,0.840956903
37,0.840995103
38,0.841035567
39,0.841054079
40,0.841065772
41,0.841097629
42,0.841134863
43,0.841160254
44,0.841181738
45,0.841214646
46,0.841251987
47,0.841284665
48,0.841317854
49,0.841355429
50,0.841400721
