new_reactions1,new_reactions2
S0YoPoAo + PQ -> S0YoPoAoBoo,oqr
S1YoPoAo + PQ -> S1YoPoAoBoo,oqr
S2YoPoAo + PQ -> S2YoPoAoBoo,oqr
S3YoPoAo + PQ -> S3YoPoAoBoo,oqr
S0YoPoAoBoo -> S0YoPoAo + PQ,oqd
S1YoPoAoBoo -> S1YoPoAo + PQ,oqd
S2YoPoAoBoo -> S2YoPoAo + PQ,oqd
S3YoPoAoBoo -> S3YoPoAo + PQ,oqd
S0YoPoAo + PQH2 -> S0YoPoAoBrr,rqr
S1YoPoAo + PQH2 -> S1YoPoAoBrr,rqr
S2YoPoAo + PQH2 -> S2YoPoAoBrr,rqr
S3YoPoAo + PQH2 -> S3YoPoAoBrr,rqr
S0YoPrAoBrr -> S0YoPrAo + PQH2,rqd
S1YoPrAoBrr -> S1YoPrAo + PQH2,rqd
S2YoPrAoBrr -> S2YoPrAo + PQH2,rqd
S3YoPrAoBrr -> S3YoPrAo + PQH2,rqd
S0YoPoAo -> S1YoPrAo + Hl,jd01
S1YoPoAo -> S2YoPrAo,jd12
S2YoPoAo -> S3YoPrAo + Hl,jd23
S3YoPoAo -> S0YoPrAo + O2 + 2 Hl,jd30
S0YoPoAoBoo -> S1YoPrAoBoo + Hl,jd01
S1YoPoAoBoo -> S2YoPrAoBoo,jd12
S2YoPoAoBoo -> S3YoPrAoBoo + Hl,jd23
S3YoPoAoBoo -> S0YoPrAoBoo + O2 + 2 Hl,jd30
S0YoPoArBrr -> S0YoPoAr + PQH2,rqd
S1YoPoArBrr -> S1YoPoAr + PQH2,rqd
S2YoPoArBrr -> S2YoPoAr + PQH2,rqd
S3YoPoArBrr -> S3YoPoAr + PQH2,rqd
S0YoPrAoBoo -> S0YoPrAo + PQ,oqd
S1YoPrAoBoo -> S1YoPrAo + PQ,oqd
S2YoPrAoBoo -> S2YoPrAo + PQ,oqd
S3YoPrAoBoo -> S3YoPrAo + PQ,oqd
S0YoPrAo + PQ -> S0YoPrAoBoo,oqr
S1YoPrAo + PQ -> S1YoPrAoBoo,oqr
S2YoPrAo + PQ -> S2YoPrAoBoo,oqr
S3YoPrAo + PQ -> S3YoPrAoBoo,oqr
S0YoPoAr -> S1YoPrAr + Hl,jd01
S1YoPoAr -> S2YoPrAr,jd12
S2YoPoAr -> S3YoPrAr + Hl,jd23
S3YoPoAr -> S0YoPrAr + O2 + 2 Hl,jd30
S0YoPrAo -> S0YoPoAr,n2*kp/(1+kp+kn+kr)
S1YoPrAo -> S1YoPoAr,n2*kp/(1+kp+kn+kr)
S2YoPrAo -> S2YoPoAr,n2*kp/(1+kp+kn+kr)
S3YoPrAo -> S3YoPoAr,n2*kp/(1+kp+kn+kr)
S0YoPoArBrr -> S0YoPoAr + PQH2,rqd
S1YoPoArBrr -> S1YoPoAr + PQH2,rqd
S2YoPoArBrr -> S2YoPoAr + PQH2,rqd
S3YoPoArBrr -> S3YoPoAr + PQH2,rqd
S0YoPoAoBrr -> S0YoPoAo + PQH2,rqd
S1YoPoAoBrr -> S1YoPoAo + PQH2,rqd
S2YoPoAoBrr -> S2YoPoAo + PQH2,rqd
S3YoPoAoBrr -> S3YoPoAo + PQH2,rqd
S0YoPrAoBoo -> S1YrPrAoBoo + Hl,jd01
S1YoPrAoBoo -> S2YrPrAoBoo,jd12
S2YoPrAoBoo -> S3YrPrAoBoo + Hl,jd23
S3YoPrAoBoo -> S0YrPrAoBoo + O2 + 2 Hl,jd30
S0YoPoArBoo -> S1YoPrArBoo + Hl,jd01
S1YoPoArBoo -> S2YoPrArBoo,jd12
S2YoPoArBoo -> S3YoPrArBoo + Hl,jd23
S3YoPoArBoo -> S0YoPrArBoo + O2 + 2 Hl,jd30
S0YoPrAoBoo -> S0YoPoArBoo,n2*kp/(1+kp+kn+kr)
S1YoPrAoBoo -> S1YoPoArBoo,n2*kp/(1+kp+kn+kr)
S2YoPrAoBoo -> S2YoPoArBoo,n2*kp/(1+kp+kn+kr)
S3YoPrAoBoo -> S3YoPoArBoo,n2*kp/(1+kp+kn+kr)
S0YoPoAr + PQ -> S0YoPoArBoo,oqr
S1YoPoAr + PQ -> S1YoPoArBoo,oqr
S2YoPoAr + PQ -> S2YoPoArBoo,oqr
S3YoPoAr + PQ -> S3YoPoArBoo,oqr
S0YoPoArBoo -> S0YoPrAo + PQ,oqd
S1YoPoArBoo -> S1YoPrAo + PQ,oqd
S2YoPoArBoo -> S2YoPrAo + PQ,oqd
S3YoPoArBoo -> S3YoPrAo + PQ,oqd
S0YoPoArBoo -> S0YoPoAoBro,b1d
S1YoPoArBoo -> S1YoPoAoBro,b1d
S2YoPoArBoo -> S2YoPoAoBro,b1d
S3YoPoArBoo -> S3YoPoAoBro,b1d
S0YoPoAoBro -> S0YoPoArBoo,b1r
S1YoPoAoBro -> S1YoPoArBoo,b1r
S2YoPoAoBro -> S2YoPoArBoo,b1r
S3YoPoAoBro -> S3YoPoArBoo,b1r
S0YoPoAoBro -> S1YoPrAoBro + Hl,jd01
S1YoPoAoBro -> S2YoPrAoBro,jd12
S2YoPoAoBro -> S3YoPrAoBro + Hl,jd23
S3YoPoAoBro -> S0YoPrAoBro + O2 + 2 Hl,jd30
