STF,FqFm
1,0.51242
2,0.35161
3,0.27946
4,0.3018
5,0.33265
6,0.34008
7,0.33935
8,0.33597
9,0.33513
10,0.3442
11,0.35366
12,0.3502
13,0.34801
14,0.34814
15,0.34975
16,0.3505
17,0.34572
18,0.34285
19,0.34113
20,0.34186
21,0.34194
22,0.33717
23,0.33512
24,0.33093
25,0.33077
26,0.32984
27,0.31781
28,0.32102
29,0.31967
30,0.31802
31,0.3169
32,0.31258
33,0.30036
34,0.30414
35,0.29807
36,0.3031
37,0.29835
38,0.28816
39,0.29329
40,0.2933
41,0.29008
42,0.29107
43,0.28825
44,0.28271
45,0.28098
46,0.28739
47,0.28371
48,0.28119
49,0.28278
50,0.28387
51,0.43349
52,0.35144
53,0.31924
54,0.31053
55,0.30881
56,0.30874
57,0.31187
58,0.31022
59,0.30122
60,0.3062
61,0.30558
62,0.2984
63,0.30089
64,0.30162
65,0.2895
66,0.29364
67,0.29028
68,0.29457
69,0.29309
70,0.29137
71,0.28452
72,0.28604
73,0.28235
74,0.28232
75,0.28855
76,0.28392
77,0.29207
78,0.29033
79,0.28631
80,0.28931
81,0.29062
82,0.28974
83,0.28177
84,0.28827
85,0.28872
86,0.28593
87,0.29073
88,0.2866
89,0.28875
90,0.2798
91,0.28033
92,0.28277
93,0.28979
94,0.28696
95,0.28775
96,0.28021
97,0.28195
98,0.28888
99,0.28136
100,0.27839
101,0.42261
102,0.3574
103,0.32778
104,0.31183
105,0.31097
106,0.29281
107,0.29622
108,0.29297
109,0.29083
110,0.28335
111,0.28323
112,0.28987
113,0.2883
114,0.28643
115,0.27991
116,0.28743
117,0.28724
118,0.2887
119,0.28764
120,0.28738
121,0.28876
122,0.2889
123,0.27879
124,0.27916
125,0.28898
126,0.28131
127,0.28639
128,0.28113
129,0.28652
130,0.289
131,0.28116
132,0.28894
133,0.27927
134,0.28274
135,0.28854
136,0.28992
137,0.28761
138,0.28687
139,0.2792
140,0.27936
141,0.28997
142,0.2813
143,0.2787
144,0.28607
145,0.28931
146,0.2824
147,0.28155
148,0.28751
149,0.27925
150,0.28683
