STF,FqFm
1,0.612
2,0.508
3,0.458
4,0.473
5,0.493
6,0.487
7,0.471
8,0.464
9,0.467
10,0.471
11,0.47
12,0.47
13,0.469
14,0.469
15,0.47
16,0.471
17,0.469
18,0.47
19,0.47
20,0.469
21,0.469
22,0.469
23,0.469
24,0.467
25,0.468
26,0.466
27,0.468
28,0.467
29,0.465
30,0.465
31,0.465
32,0.464
33,0.465
34,0.463
35,0.463
36,0.463
37,0.461
38,0.46
39,0.459
40,0.458
41,0.458
42,0.457
43,0.457
44,0.456
45,0.454
46,0.453
47,0.452
48,0.451
49,0.449
50,0.451
51,0.543
52,0.518
53,0.511
54,0.502
55,0.49
56,0.481
57,0.475
58,0.471
59,0.466
60,0.461
61,0.458
62,0.454
63,0.451
64,0.449
65,0.446
66,0.444
67,0.443
68,0.44
69,0.438
70,0.439
71,0.436
72,0.434
73,0.433
74,0.431
75,0.431
76,0.43
77,0.428
78,0.427
79,0.425
80,0.423
81,0.424
82,0.421
83,0.421
84,0.418
85,0.418
86,0.418
87,0.417
88,0.416
89,0.415
90,0.414
91,0.414
92,0.412
93,0.412
94,0.411
95,0.41
96,0.411
97,0.409
98,0.408
99,0.407
100,0.408
101,0.537
102,0.509
103,0.508
104,0.5
105,0.485
106,0.468
107,0.455
108,0.449
109,0.441
110,0.435
111,0.431
112,0.425
113,0.422
114,0.421
115,0.418
116,0.417
117,0.414
118,0.413
119,0.411
120,0.411
121,0.41
122,0.409
123,0.409
124,0.407
125,0.406
126,0.405
127,0.404
128,0.404
129,0.404
130,0.402
131,0.402
132,0.402
133,0.401
134,0.4
135,0.399
136,0.399
137,0.398
138,0.398
139,0.398
140,0.398
141,0.397
142,0.396
143,0.396
144,0.395
145,0.395
146,0.395
147,0.395
148,0.395
149,0.394
150,0.394
151,0.534
152,0.502
153,0.501
154,0.493
155,0.475
156,0.458
157,0.444
158,0.436
159,0.43
160,0.424
161,0.419
162,0.415
163,0.413
164,0.41
165,0.408
166,0.407
167,0.406
168,0.405
169,0.403
170,0.403
171,0.403
172,0.401
173,0.401
174,0.402
175,0.401
176,0.401
177,0.4
178,0.4
179,0.399
180,0.399
181,0.399
182,0.399
183,0.396
184,0.397
185,0.396
186,0.395
187,0.396
188,0.394
189,0.393
190,0.393
191,0.393
192,0.392
193,0.393
194,0.392
195,0.392
196,0.392
197,0.391
198,0.391
199,0.391
200,0.391
201,0.532
202,0.497
203,0.494
204,0.487
205,0.472
206,0.454
207,0.44
208,0.432
209,0.426
210,0.421
211,0.418
212,0.412
213,0.41
214,0.407
215,0.406
216,0.405
217,0.402
218,0.403
219,0.401
220,0.401
221,0.401
222,0.4
223,0.399
224,0.398
225,0.399
226,0.399
227,0.399
228,0.398
229,0.398
230,0.398
231,0.397
232,0.398
233,0.397
234,0.397
235,0.396
236,0.395
237,0.395
238,0.393
239,0.393
240,0.394
241,0.393
242,0.392
243,0.392
244,0.392
245,0.391
246,0.391
247,0.391
248,0.39
249,0.391
250,0.391
251,0.529
252,0.493
253,0.491
254,0.484
255,0.471
256,0.454
257,0.441
258,0.432
259,0.427
260,0.422
261,0.418
262,0.414
263,0.411
264,0.408
265,0.406
266,0.404
267,0.403
268,0.402
269,0.402
270,0.401
271,0.4
272,0.4
273,0.399
274,0.399
275,0.397
276,0.398
277,0.399
278,0.399
279,0.397
280,0.396
281,0.397
282,0.397
283,0.396
284,0.397
285,0.396
286,0.395
287,0.396
288,0.394
289,0.394
290,0.393
291,0.392
292,0.393
293,0.392
294,0.392
295,0.391
296,0.391
297,0.391
298,0.391
299,0.391
300,0.391
301,0.528
302,0.492
303,0.49
304,0.485
305,0.474
306,0.458
307,0.445
308,0.437
309,0.431
310,0.426
311,0.421
312,0.417
313,0.414
314,0.411
315,0.409
316,0.407
317,0.406
318,0.404
319,0.404
320,0.403
321,0.401
322,0.399
323,0.4
324,0.399
325,0.399
326,0.398
327,0.398
328,0.398
329,0.398
330,0.397
331,0.397
332,0.397
333,0.396
334,0.395
335,0.396
336,0.395
337,0.395
338,0.395
339,0.394
340,0.393
341,0.393
342,0.392
343,0.392
344,0.393
345,0.392
346,0.39
347,0.392
348,0.39
349,0.39
350,0.391
351,0.529
352,0.492
353,0.49
354,0.487
355,0.475
356,0.462
357,0.449
358,0.441
359,0.434
360,0.429
361,0.424
362,0.42
363,0.417
364,0.415
365,0.412
366,0.409
367,0.408
368,0.406
369,0.403
370,0.404
371,0.402
372,0.4
373,0.401
374,0.4
375,0.4
376,0.398
377,0.398
378,0.397
379,0.397
380,0.398
381,0.398
382,0.396
383,0.396
384,0.396
385,0.395
386,0.394
387,0.395
388,0.394
389,0.394
390,0.393
